AP1,AP2,x,y,gamma1,gamma2,d1,d2,layers1,layers2
-36.75165939331055,-45.0,1.5,1.9,0.9771248966143847,0.0,2.420743687382041,8.237718130647588,0,3
-51.0,-46.87582778930664,1.0,3.7,0.0,0.23309625803694514,3.83275357934736,6.378871373526825,9,14
-37.0,-30.813743591308594,-0.8,4.6,0.0,0.38172738422088803,4.6690470119715,5.458937625582473,11,5
-48.0,-40.43901824951172,4.0,7.3,0.0,0.5030858687751475,8.324061508662703,4.825971404805461,3,0
-41.0,-31.376934051513672,-0.8,7.3,0.0,0.9734381305350391,7.343704787094863,2.816025568065745,3,0
-49.0,-44.87582778930664,2.5,7.3,0.0,0.3315300195027382,7.71621668954417,3.67967389859482,3,0
-44.0,-39.18846893310547,1.5,3.7,0.0,0.26974369459629394,3.992492955535426,6.476109943476871,9,15
-46.0,-46.0,3.0,1.9,0.0,0.0,3.5510561809129406,8.637708029332781,8,4
-44.0,-32.314849853515625,0.5,8.2,0.0,1.9582169845243067,8.21522975941635,1.868154169226941,3,0
-43.0,-38.87582778930664,0.5,7.3,0.0,0.42760178985491154,7.3171032519706865,2.7459060435491964,3,0
-43.31263732910156,-44.0,3.5,2.8,0.047988049590661906,0.0,4.4821869662029945,8.005623023850173,10,3
-51.0,-46.87582778930664,1.0,3.7,0.0,0.23309625803694514,3.83275357934736,6.378871373526825,9,14
-50.0,-42.43901824951172,3.5,7.3,0.0,0.5327992599592434,8.095677859203638,4.420407221060069,3,0
-46.56319046020508,-50.0,4.75,1.9,0.22050227357111668,0.0,5.115906566777779,9.39002129923037,12,4
-47.0,-40.126380920410156,1.5,8.2,0.0,0.8454564165010178,8.336066218546971,2.343074902771997,3,0
-43.0,-40.250553131103516,0.5,4.6,0.0,0.17031765313924568,4.62709412050371,5.4230987451825,11,12
-45.37693405151367,-55.0,2.5,3.7,0.673516864411738,0.0,4.465422712353221,6.777905281132217,0,15
-47.37693405151367,-57.0,3.0,6.4,0.5153510250398957,0.0,7.068238818828918,4.686149805543993,10,11
-36.689571380615234,-47.0,2.5,2.8,0.8163506849079072,0.0,3.753664875824692,7.621679604916491,0,3
-56.0,-38.81595230102539,2.5,9.1,0.0,1.8416373734358882,9.43716058992322,2.6570660511172846,4,0
-50.0,-42.43901824951172,3.5,7.3,0.0,0.5327992599592434,8.095677859203638,4.420407221060069,3,0
-46.56319046020508,-50.0,4.75,2.8,0.21082752171188168,0.0,5.513846207503434,8.625688378326682,13,4
-36.93791580200195,-39.0,1.0,3.7,0.1607366384047416,0.0,3.83275357934736,6.378871373526825,16,14
-46.56319046020508,-50.0,4.75,2.8,0.21082752171188168,0.0,5.513846207503434,8.625688378326682,13,4
-50.0,-43.813743591308594,4.0,1.9,0.0,0.2943641519987142,4.428317965096905,9.033825324855467,10,4
-48.0,-45.250553131103516,4.0,4.6,0.0,0.15114671806764246,6.095900261651268,6.7201190465645775,14,15
-50.0,-42.43901824951172,3.5,7.3,0.0,0.5327992599592434,8.095677859203638,4.420407221060069,3,0
-82.0,-54.50552749633789,3.5,4.6,0.0,1.5466559949784915,5.78013840664737,6.435060217278468,13,0
-50.0,-43.813743591308594,4.0,1.9,0.0,0.2943641519987142,4.428317965096905,9.033825324855467,10,4
-50.0,-41.75165939331055,2.0,7.3,0.0,0.712773056611349,7.569015788066504,3.3600595232822887,3,0
-40.625274658203125,-42.0,0.5,2.8,0.1377335043385071,0.0,2.8442925306655784,7.217340230306453,19,3
-47.87582778930664,-52.0,4.75,4.6,0.22866119196662518,0.0,6.612299146287923,7.191835648845155,15,3
-47.37693405151367,-57.0,3.0,6.4,0.5153510250398957,0.0,7.068238818828918,4.686149805543993,10,11
-41.20097351074219,-42.0,1.0,1.9,3.3753074863248913,0.0,2.1470910553583886,8.161494961096281,0,3
-47.0,-44.250553131103516,2.5,4.6,0.0,0.1614527404780546,5.235456045083369,5.950630218724736,12,13
-44.0,-38.50110626220703,1.5,9.1,0.0,1.029852143984791,9.222797840135064,1.7492855684535902,4,0
-47.0,-40.126380920410156,1.5,8.2,0.0,0.8454564165010178,8.336066218546971,2.343074902771997,3,0
-44.0,-32.314849853515625,0.5,9.1,0.0,42.00488541219496,9.113725912051557,1.0295630140987002,4,19
-46.0,-40.50110626220703,4.0,6.4,0.0,0.34219574911081,7.547184905645284,5.381449618829484,3,4
-34.75165939331055,-43.0,1.0,2.8,0.7927836473102479,0.0,2.973213749463701,7.269112738154499,0,3
-43.87582778930664,-48.0,4.0,9.1,0.18807168073465033,0.0,9.940321926376429,4.1000000000000005,4,9
-82.0,-54.50552749633789,3.5,3.7,0.0,1.4579438432755534,5.0931326312987375,7.2069410986909,12,0
-41.20097351074219,-42.0,1.0,1.9,3.3753074863248913,0.0,2.1470910553583886,8.161494961096281,0,3
-82.0,-54.50552749633789,3.5,3.7,0.0,1.4579438432755534,5.0931326312987375,7.2069410986909,12,0
-40.31263732910156,-41.0,-0.8,6.4,0.03861881501056424,0.0,6.44980619863884,3.6878177829171546,15,9
-45.37693405151367,-55.0,2.5,3.7,0.673516864411738,0.0,4.465422712353221,6.777905281132217,0,15
-43.0,-40.93791580200195,3.0,9.1,0.0,0.18915904299156938,9.581753492967767,3.132091952673165,4,19
-47.87582778930664,-52.0,4.75,4.6,0.22866119196662518,0.0,6.612299146287923,7.191835648845155,15,3
-44.93791580200195,-47.0,4.75,6.4,0.10404364672372073,0.0,7.9701003757794675,5.960075502877459,3,14
-48.0,-46.625274658203125,4.75,8.2,0.0,0.08858703466849223,9.476418099683023,5.079616127228514,4,12
-50.0,-43.813743591308594,4.0,1.9,0.0,0.2943641519987142,4.428317965096905,9.033825324855467,10,4
-43.625274658203125,-45.0,2.0,6.4,0.07566126667203694,0.0,6.705221845696085,4.1182520563948,15,10
-50.0,-42.43901824951172,3.5,7.3,0.0,0.5327992599592434,8.095677859203638,4.420407221060069,3,0
-50.0,-42.43901824951172,3.5,7.3,0.0,0.5327992599592434,8.095677859203638,4.420407221060069,3,0
-43.31263732910156,-44.0,3.5,2.8,0.047988049590661906,0.0,4.4821869662029945,8.005623023850173,10,3
-43.0,-40.93791580200195,3.0,8.2,0.0,0.17244563781768354,8.73155198117723,3.4985711369071804,4,19
-48.0,-45.250553131103516,4.0,6.4,0.0,0.171097874555405,7.547184905645284,5.381449618829484,3,12
-42.0,-28.252763748168945,-0.8,8.2,0.0,2.123786296283237,8.238931969618392,1.9697715603592216,3,0
-44.0,-32.314849853515625,0.5,8.2,0.0,1.9582169845243067,8.21522975941635,1.868154169226941,3,0
-47.0,-44.250553131103516,3.0,4.6,0.0,0.15813688874710569,5.491812087098392,6.177378084592201,12,14
-50.87582778930664,-55.0,2.0,3.7,0.30067900063304304,0.0,4.205948168962618,6.609841147864296,1,15
-45.0,-37.43901824951172,1.0,4.6,0.0,0.4649108293225331,4.707440918375927,5.491812087098393,11,1
-48.0,-45.250553131103516,4.0,6.4,0.0,0.171097874555405,7.547184905645284,5.381449618829484,3,12
-49.0,-44.87582778930664,2.5,7.3,0.0,0.3315300195027382,7.71621668954417,3.67967389859482,3,0
-50.0,-41.75165939331055,2.0,7.3,0.0,0.712773056611349,7.569015788066504,3.3600595232822887,3,0
-43.0,-40.93791580200195,3.0,9.1,0.0,0.18915904299156938,9.581753492967767,3.132091952673165,4,19
-41.0,-31.376934051513672,-0.8,8.2,0.0,1.4866502130457655,8.238931969618392,1.9697715603592216,3,0
-45.625274658203125,-47.0,1.5,7.3,0.0716809070764662,0.0,7.4525163535546834,3.0886890422961004,3,7
-51.0,-46.87582778930664,1.0,3.7,0.0,0.23309625803694514,3.83275357934736,6.378871373526825,9,14
-36.689571380615234,-47.0,2.5,1.9,0.9436925860970676,0.0,3.1400636936215163,8.477027781009095,0,19
-49.0,-44.18846893310547,1.0,4.6,0.0,0.2958527209854504,4.707440918375927,5.491812087098393,11,17
-41.0,-31.376934051513672,-0.8,8.2,0.0,1.4866502130457655,8.238931969618392,1.9697715603592216,3,0
-41.126380920410156,-48.0,-0.8,2.8,0.6735016992612911,0.0,2.912043955712207,7.244308110509934,0,3
-47.0,-44.250553131103516,2.5,6.4,0.0,0.19486193521682632,6.870953354520754,4.382921400162225,15,6
-45.0,-41.56319046020508,3.5,8.2,0.0,0.2627097345337347,8.915716460273957,3.9357337308308855,4,1
-47.0,-44.250553131103516,3.0,4.6,0.0,0.15813688874710569,5.491812087098392,6.177378084592201,12,14
-40.31263732910156,-41.0,-0.8,6.4,0.03861881501056424,0.0,6.44980619863884,3.6878177829171546,15,9
-41.126380920410156,-48.0,-0.8,2.8,0.6735016992612911,0.0,2.912043955712207,7.244308110509934,0,3
-50.0,-42.43901824951172,3.5,7.3,0.0,0.5327992599592434,8.095677859203638,4.420407221060069,3,0
-47.0,-44.250553131103516,3.0,3.7,0.0,0.1482189942381856,4.763402145525822,6.977822009767804,11,16
-50.0,-30.753868103027344,-0.8,9.1,0.0,10.849571143950147,9.135097153287424,1.2041594578792298,4,19
-41.126380920410156,-48.0,-0.8,3.7,0.5407811842105658,0.0,3.78549864614954,6.350590523722971,0,14
-45.31263732910156,-46.0,0.5,3.7,0.0546443240609332,0.0,3.733630940518894,6.319810123729984,9,14
-50.0,-42.43901824951172,3.5,6.4,0.0,0.49073699738409726,7.294518489934754,5.020956084253276,3,1
-41.0,-31.376934051513672,-0.8,8.2,0.0,1.4866502130457655,8.238931969618392,1.9697715603592216,3,0
-43.0,-40.250553131103516,0.5,6.4,0.0,0.2231331943236447,6.419501538281614,3.634556369077249,14,1
-38.50110626220703,-44.0,-0.8,1.9,0.7960376583994825,0.0,2.0615528128088303,8.139410298049853,0,3
-43.0,-40.93791580200195,3.0,8.2,0.0,0.17244563781768354,8.73155198117723,3.4985711369071804,4,19
-43.625274658203125,-45.0,2.0,6.4,0.07566126667203694,0.0,6.705221845696085,4.1182520563948,15,10
-35.25276184082031,-49.0,2.0,1.9,1.41884971397861,0.0,2.758622844826744,8.34326075344646,0,3
-47.0,-44.250553131103516,3.0,4.6,0.0,0.15813688874710569,5.491812087098392,6.177378084592201,12,14
-48.0,-40.43901824951172,4.0,7.3,0.0,0.5030858687751475,8.324061508662703,4.825971404805461,3,0
-48.0,-40.43901824951172,4.0,6.4,0.0,0.4705187635886208,7.547184905645284,5.381449618829484,3,1
-41.126380920410156,-48.0,-0.8,2.8,0.6735016992612911,0.0,2.912043955712207,7.244308110509934,0,3
-47.0,-44.250553131103516,3.0,4.6,0.0,0.15813688874710569,5.491812087098392,6.177378084592201,12,14
-47.37693405151367,-57.0,3.0,7.3,0.48783875824334366,0.0,7.892401408950257,4.036087214122113,3,9
-56.0,-38.81595230102539,2.5,9.1,0.0,1.8416373734358882,9.43716058992322,2.6570660511172846,4,0
-38.625274658203125,-40.0,1.5,3.7,0.10399679553342012,0.0,3.992492955535426,6.476109943476871,9,15
-43.625274658203125,-45.0,2.0,6.4,0.07566126667203694,0.0,6.705221845696085,4.1182520563948,15,10
-45.31263732910156,-46.0,4.0,3.7,0.04246029663680529,0.0,5.448853090330111,7.462573282722254,12,3
-36.689571380615234,-47.0,2.5,2.8,0.8163506849079072,0.0,3.753664875824692,7.621679604916491,0,3
-46.0,-46.0,3.0,2.8,0.0,0.0,4.1036569057366385,7.8,10,3
-47.0,-44.250553131103516,3.0,4.6,0.0,0.15813688874710569,5.491812087098392,6.177378084592201,12,14
-48.0,-46.625274658203125,4.75,8.2,0.0,0.08858703466849223,9.476418099683023,5.079616127228514,4,12
-49.0,-44.87582778930664,2.5,8.2,0.0,0.38389289744245597,8.572630868059116,3.080584360149873,4,0
-45.31263732910156,-46.0,4.0,2.8,0.04539837510489625,0.0,4.882622246293481,8.2365041127896,11,3
-44.0,-32.314849853515625,0.5,9.1,0.0,42.00488541219496,9.113725912051557,1.0295630140987002,4,19
-46.56319046020508,-50.0,4.75,2.8,0.21082752171188168,0.0,5.513846207503434,8.625688378326682,13,4
-42.813743591308594,-49.0,0.5,3.7,0.49180025005232925,0.0,3.733630940518894,6.319810123729984,0,14
-56.0,-38.81595230102539,2.5,9.1,0.0,1.8416373734358882,9.43716058992322,2.6570660511172846,4,0
-56.0,-38.81595230102539,3.0,1.9,0.0,0.8346822569805857,3.5510561809129406,8.637708029332781,8,10
-45.625274658203125,-47.0,4.75,7.3,0.06651964571227487,0.0,8.70933407328023,5.463744137493995,4,12
-45.31263732910156,-46.0,4.0,2.8,0.04539837510489625,0.0,4.882622246293481,8.2365041127896,11,3
-40.625274658203125,-42.0,0.5,2.8,0.1377335043385071,0.0,2.8442925306655784,7.217340230306453,19,3
-36.75165939331055,-45.0,1.5,1.9,0.9771248966143847,0.0,2.420743687382041,8.237718130647588,0,3
-49.0,-44.87582778930664,2.5,8.2,0.0,0.38389289744245597,8.572630868059116,3.080584360149873,4,0
-50.0,-34.190677642822266,1.0,7.3,0.0,1.5656506834743027,7.368174807915458,2.879236009777594,3,0
-41.0,-31.376934051513672,-0.8,7.3,0.0,0.9734381305350391,7.343704787094863,2.816025568065745,3,0
-45.0,-41.56319046020508,3.5,8.2,0.0,0.2627097345337347,8.915716460273957,3.9357337308308855,4,1
-45.0,-41.56319046020508,3.5,9.1,0.0,0.28015592415606455,9.749871794028882,3.6138621999185303,4,19
-50.0,-42.43901824951172,3.5,7.3,0.0,0.5327992599592434,8.095677859203638,4.420407221060069,3,0
-56.0,-38.81595230102539,2.5,9.1,0.0,1.8416373734358882,9.43716058992322,2.6570660511172846,4,0
-56.0,-38.81595230102539,2.5,9.1,0.0,1.8416373734358882,9.43716058992322,2.6570660511172846,4,0
-43.31263732910156,-44.0,3.5,2.8,0.047988049590661906,0.0,4.4821869662029945,8.005623023850173,10,3
-50.87582778930664,-55.0,2.0,3.7,0.30067900063304304,0.0,4.205948168962618,6.609841147864296,1,15
-48.0,-46.625274658203125,4.75,9.1,0.0,0.0913673262313958,10.265110812845617,4.834511350695125,4,11
-46.0,-30.190677642822266,-0.8,8.2,0.0,2.442354013981139,8.238931969618392,1.9697715603592216,3,0
-50.0,-42.43901824951172,3.5,7.3,0.0,0.5327992599592434,8.095677859203638,4.420407221060069,3,0
-43.0,-40.93791580200195,3.0,9.1,0.0,0.18915904299156938,9.581753492967767,3.132091952673165,4,19
-45.37693405151367,-55.0,2.5,3.7,0.673516864411738,0.0,4.465422712353221,6.777905281132217,0,15
-46.56319046020508,-50.0,4.75,1.9,0.22050227357111668,0.0,5.115906566777779,9.39002129923037,12,4
-43.87582778930664,-48.0,4.0,8.2,0.19536493891941634,0.0,9.123595782365635,4.386342439892262,4,10
-47.37693405151367,-57.0,3.0,6.4,0.5153510250398957,0.0,7.068238818828918,4.686149805543993,10,11
-37.0,-30.813743591308594,-0.8,3.7,0.0,0.35048506905171267,3.78549864614954,6.350590523722971,9,12
-65.0,-53.314849853515625,4.75,3.7,0.0,0.5924621373686106,6.021004899516359,7.89002534850174,14,12
-50.0,-41.75165939331055,2.0,7.3,0.0,0.712773056611349,7.569015788066504,3.3600595232822887,3,0
-48.625274658203125,-50.0,1.5,6.4,0.07645887418730446,0.0,6.573431371817919,3.8999999999999995,15,9
-51.0,-46.87582778930664,1.0,4.6,0.0,0.25358767820340183,4.707440918375927,5.491812087098393,11,12
-47.37693405151367,-57.0,3.0,6.4,0.5153510250398957,0.0,7.068238818828918,4.686149805543993,10,11
-43.87582778930664,-48.0,4.0,9.1,0.18807168073465033,0.0,9.940321926376429,4.1000000000000005,4,9
-45.625274658203125,-47.0,1.5,7.3,0.0716809070764662,0.0,7.4525163535546834,3.0886890422961004,3,7
-63.0,-46.50331497192383,1.0,7.3,0.0,1.63372227175862,7.368174807915458,2.879236009777594,3,0
-45.31263732910156,-46.0,4.0,2.8,0.04539837510489625,0.0,4.882622246293481,8.2365041127896,11,3
-43.87582778930664,-48.0,4.0,8.2,0.19536493891941634,0.0,9.123595782365635,4.386342439892262,4,10
-36.75165939331055,-45.0,1.5,1.9,0.9771248966143847,0.0,2.420743687382041,8.237718130647588,0,3
-50.0,-42.43901824951172,3.5,7.3,0.0,0.5327992599592434,8.095677859203638,4.420407221060069,3,0
-48.0,-46.625274658203125,4.75,8.2,0.0,0.08858703466849223,9.476418099683023,5.079616127228514,4,12
-45.31263732910156,-46.0,4.0,2.8,0.04539837510489625,0.0,4.882622246293481,8.2365041127896,11,3
-47.0,-40.126380920410156,1.5,8.2,0.0,0.8454564165010178,8.336066218546971,2.343074902771997,3,0
-45.31263732910156,-46.0,4.0,3.7,0.04246029663680529,0.0,5.448853090330111,7.462573282722254,12,3
-82.0,-54.50552749633789,3.5,4.6,0.0,1.5466559949784915,5.78013840664737,6.435060217278468,13,0
-46.56319046020508,-50.0,4.75,2.8,0.21082752171188168,0.0,5.513846207503434,8.625688378326682,13,4
-43.0,-40.250553131103516,0.5,4.6,0.0,0.17031765313924568,4.62709412050371,5.4230987451825,11,12
-45.625274658203125,-47.0,4.75,7.3,0.06651964571227487,0.0,8.70933407328023,5.463744137493995,4,12
-41.0,-40.31263732910156,1.5,4.6,0.0,0.041766618802039655,4.838388161361178,5.604462507680822,11,13
-63.0,-46.50331497192383,1.0,6.4,0.0,1.310753871448464,6.47765389628066,3.7363083384538807,15,0
-50.0,-42.43901824951172,3.5,7.3,0.0,0.5327992599592434,8.095677859203638,4.420407221060069,3,0
